unhealthy_ratio,good_day_ratio,pollution_severity_index,aqi_spread,pm_pollution_ratio
0.0,0.7219917012448133,67,45,0.6224066390041494
0.0,0.8535564853556485,36,101,1.0
0.0,0.7860082304526749,52,51,0.35802469135802467
0.0,0.9717514124293786,5,32,0.0
0.0,0.6348547717842323,88,42,0.7012448132780082
0.0,0.36813186813186816,116,59,0.8571428571428571
0.0,1.0,0,13,1.0
0.0,0.7513812154696132,45,30,0.6353591160220995
0.0,0.6970954356846473,73,37,0.6929460580912863
0.0,0.6540084388185654,82,46,0.7932489451476793
0.0,0.8106995884773662,46,29,0.6337448559670782
0.0,0.8109452736318408,38,50,0.31840796019900497
0.0,0.9560439560439561,8,47,0.0
0.0,0.7933884297520661,50,49,0.7892561983471075
0.0,0.7654320987654321,57,52,0.6954732510288066
0.0,0.95,1,47,1.0
0.0,0.8076923076923077,36,86,0.978021978021978
0.0,1.0,0,11,0.0
0.02197802197802198,0.6153846153846154,84,148,0.5714285714285714
0.0,0.850828729281768,28,117,1.0
0.0,1.0,0,6,1.0
0.0,0.9034090909090909,19,134,1.0
0.0,1.0,0,20,1.0
0.0,0.9962962962962963,1,38,1.0
0.007326007326007326,0.6556776556776557,102,282,0.304029304029304
0.0,0.6254681647940075,102,65,0.00749063670411985
0.003663003663003663,0.5201465201465202,147,146,0.1575091575091575
0.0036900369003690036,0.6863468634686347,88,206,0.09225092250922509
0.019736842105263157,0.16447368421052633,298,295,0.375
0.007380073800738007,0.933579335793358,24,312,1.0
0.0,0.9963369963369964,1,41,1.0
0.018315018315018316,0.36996336996337,187,302,0.6776556776556777
0.014925373134328358,0.2462686567164179,238,1149,0.39925373134328357
0.003676470588235294,0.6360294117647058,102,142,1.0
0.0,0.587360594795539,111,48,0.0037174721189591076
0.003663003663003663,0.5347985347985348,136,162,0.41025641025641024
0.0,0.5164835164835165,44,28,1.0
0.0,0.5384615384615384,42,19,1.0
0.0,0.975103734439834,6,39,0.0
0.0,0.7985347985347986,56,71,0.1978021978021978
0.0,0.5274725274725275,43,43,1.0
0.0,0.6593406593406593,31,35,1.0
0.0,0.9304029304029304,19,39,0.003663003663003663
0.0,0.8118081180811808,52,79,0.2140221402214022
0.0072992700729927005,0.3284671532846715,193,185,0.7335766423357665
0.0,0.43956043956043955,51,18,1.0
0.0,0.8315018315018315,46,33,0.18315018315018314
0.0,0.8483412322274881,32,57,0.0
0.0,0.6612244897959184,83,49,0.4326530612244898
0.0,0.7391304347826086,54,57,0.21739130434782608
0.0,0.8490566037735849,40,57,0.4377358490566038
0.0,0.8100558659217877,34,37,1.0
0.0,0.8584905660377359,31,76,0.0047169811320754715
0.003289473684210526,0.40131578947368424,208,103,0.29605263157894735
0.0,0.8018867924528302,42,54,0.27358490566037735
0.0,0.8316831683168316,51,39,0.7128712871287128
0.0273972602739726,0.273972602739726,192,126,0.4474885844748858
0.01098901098901099,0.4065934065934066,176,109,0.45054945054945056
0.0,0.23809523809523808,233,82,0.45054945054945056
0.0,0.39779005524861877,112,52,0.5027624309392266
0.0,1.0,0,15,1.0
0.10948905109489052,0.10948905109489052,364,124,0.35766423357664234
0.0,0.6916666666666667,37,48,0.4666666666666667
0.0,1.0,0,11,1.0
0.0,0.816,46,45,0.004
0.0,0.6444444444444445,32,35,0.5222222222222223
0.0,0.9281767955801105,14,82,1.0
0.0,0.7692307692307693,42,22,0.5
0.0,0.7955801104972375,37,40,0.11049723756906077
0.0036496350364963502,0.44525547445255476,162,107,0.551094890510949
0.0,0.48559670781893005,127,92,0.3004115226337449
0.0,0.5282051282051282,96,65,1.0
0.12043795620437957,0.10583941605839416,382,278,0.3248175182481752
0.0,0.5892857142857143,95,74,0.41964285714285715
0.0,0.905829596412556,21,30,0.11659192825112108
